context,word,frequency,cloze_probability
bag,pen,28,0.5384615384615384
bag,pencil,28,0.5384615384615384
bag,marker,22,0.4230769230769231
bag,a pen,19,0.36538461538461536
bag,a pencil,19,0.36538461538461536
bag,crayon,18,0.34615384615384615
bag,a crayon,11,0.21153846153846154
bag,a marker,10,0.19230769230769232
bag,lipstick,9,0.17307692307692307
bag,a highlighter,7,0.1346153846153846
bag,highlighter,6,0.11538461538461539
bag,phone,6,0.11538461538461539
bag,voice recorder,6,0.11538461538461539
bag,chalk,5,0.09615384615384616
bag,eyeliner,5,0.09615384615384616
bag,notepad,5,0.09615384615384616
bag,sharpie,5,0.09615384615384616
bag,ink,3,0.057692307692307696
bag,paper,3,0.057692307692307696
bag,pens,3,0.057692307692307696
bag,an eyeliner,2,0.038461538461538464
bag,charcoal,2,0.038461538461538464
bag,eye liner,2,0.038461538461538464
bag,lip stick,2,0.038461538461538464
bag,markers,2,0.038461538461538464
bag,nail polish,2,0.038461538461538464
bag,pencils,2,0.038461538461538464
bag,quill,2,0.038461538461538464
bag,a computer,1,0.019230769230769232
bag,a lip pencil,1,0.019230769230769232
bag,a lipstick,1,0.019230769230769232
bag,a notepad,1,0.019230769230769232
bag,a phone,1,0.019230769230769232
bag,a sharpie,1,0.019230769230769232
bag,a tablet,1,0.019230769230769232
bag,an envelope,1,0.019230769230769232
bag,an eye liner pencil,1,0.019230769230769232
bag,an eyebrow pencil,1,0.019230769230769232
bag,an index card,1,0.019230769230769232
bag,beeper,1,0.019230769230769232
bag,brush,1,0.019230769230769232
bag,business card,1,0.019230769230769232
bag,buzzer,1,0.019230769230769232
bag,camera,1,0.019230769230769232
bag,clip,1,0.019230769230769232
bag,color,1,0.019230769230769232
bag,crayons,1,0.019230769230769232
bag,envelope,1,0.019230769230769232
bag,eybrow pencil,1,0.019230769230769232
bag,eyebrow pencil,1,0.019230769230769232
bag,high lighter,1,0.019230769230769232
bag,highlighters,1,0.019230769230769232
bag,keys,1,0.019230769230769232
bag,legal paper,1,0.019230769230769232
bag,mascara,1,0.019230769230769232
bag,my ipad,1,0.019230769230769232
bag,my kindle,1,0.019230769230769232
bag,note,1,0.019230769230769232
bag,paintbrush,1,0.019230769230769232
bag,pastels,1,0.019230769230769232
bag,receipt,1,0.019230769230769232
bag,snacks,1,0.019230769230769232
bag,tablet,1,0.019230769230769232
bag,whiteout,1,0.019230769230769232
bag,wipes,1,0.019230769230769232
