split_id,context,spearman_rho,p_value,n_words_union
0,bakery,0.1758521624624201,0.11868878919877908,80
0,closet,0.0303135631029896,0.7681838209849581,97
0,corner,0.00031996366432697346,0.9973777830458497,108
0,fitness,0.31387463972516744,0.01298117488425586,62
0,fridge,0.44849689023017125,0.006080081857374932,36
0,garage,0.05746805159540304,0.5822003881359794,94
0,handbag,0.22298143623238703,0.0741956801190011,65
0,library,-0.28193086430072495,0.0010565116838784584,132
0,mall,-0.25199682213760194,0.0034322805323529944,133
0,play,-0.20414486986946842,0.010580991461980676,156
0,restaurant,0.32668703003135524,0.018090206959870406,52
1,bakery,0.11537985360070055,0.30812922156946543,80
1,closet,-0.10557031807372827,0.30341043136086654,97
1,corner,0.023326194926797803,0.8106211621393203,108
1,fitness,0.4097730367850871,0.0009415853930540754,62
1,fridge,0.4364783958963451,0.00778168185107961,36
1,garage,0.17756206175162786,0.08687316603924354,94
1,handbag,0.3728555954184902,0.0022218674411748117,65
1,library,-0.34398318503289116,5.381167198996294e-05,132
1,mall,-0.27779379300521595,0.0012062501770465227,133
1,play,-0.24761438466605434,0.0018300555796691887,156
1,restaurant,0.17087589928350214,0.22582571532373366,52
2,bakery,0.12522105754683732,0.2684034102723512,80
2,closet,-0.08223511093940754,0.4232590441660602,97
2,corner,0.07813790023184729,0.42150444991625646,108
2,fitness,0.44759885514639464,0.00026466579581734396,62
2,fridge,0.461965402332303,0.00456296151557917,36
2,garage,0.13680578497376455,0.18856848166921583,94
2,handbag,0.3406144976648067,0.005496725304836295,65
2,library,-0.3522243208350437,3.4460653343901406e-05,132
2,mall,-0.2650517276745099,0.0020477979456241806,133
2,play,-0.11301986826071969,0.16008970683477497,156
2,restaurant,0.32063592250169687,0.020477081458806796,52
3,bakery,0.13240074427464668,0.24169815880085302,80
3,closet,-0.01241304910495929,0.9039491536258579,97
3,corner,-0.029912254729122387,0.7586082946873878,108
3,fitness,0.3621631273871093,0.0038214973089524588,62
3,fridge,0.5702864766884618,0.0002820365888734037,36
3,garage,0.15437808181760693,0.1373726576973822,94
3,handbag,0.30985141394627375,0.012012371537342982,65
3,library,-0.3630146523540472,1.886499875410256e-05,132
3,mall,-0.19882936370002852,0.021771864282977275,133
3,play,-0.06768306714673461,0.40117440015119843,156
3,restaurant,0.273805172298315,0.049512213432481134,52
4,bakery,0.038324309431203456,0.7357308349021956,80
4,closet,-0.10345203808518755,0.31326983476799825,97
4,corner,-0.0019357357272375946,0.9841369537947815,108
4,fitness,0.2961985673008932,0.019411876382254802,62
4,fridge,0.4494744235684644,0.0059569828309136465,36
4,garage,0.11672893946695735,0.2625340716903708,94
4,handbag,0.44489066608036887,0.0002047208957756239,65
4,library,-0.39983313730603987,2.0372163018319557e-06,132
4,mall,-0.20826812172804626,0.016144425783779906,133
4,play,-0.1969193704726861,0.013742820472474652,156
4,restaurant,0.28408605748530014,0.04124701390889538,52
5,bakery,0.16965895464797967,0.13244668652196975,80
5,closet,0.038118933711544734,0.7108641063023684,97
5,corner,0.017791486515202064,0.8549882656502067,108
5,fitness,0.4141286988828229,0.0008196096173307564,62
5,fridge,0.47393580660464985,0.0035012744536778067,36
5,garage,0.15464225743584997,0.13669294792581638,94
5,handbag,0.3322631685254082,0.006848877985118817,65
5,library,-0.30372092851417476,0.00039965786358453736,132
5,mall,-0.13889456963376764,0.110840075264236,133
5,play,-0.18485563251535223,0.020875738963515012,156
5,restaurant,0.33468513703437786,0.015301119811615029,52
6,bakery,0.17353411426792714,0.12370347540869364,80
6,closet,-0.06307176191879589,0.5393848276666502,97
6,corner,0.04065117877475773,0.6761545007332055,108
6,fitness,0.4104444580718127,0.0009217737949583195,62
6,fridge,0.44131389235882007,0.00705357655179175,36
6,garage,0.06661125050234026,0.5235465671315236,94
6,handbag,0.36406994177145635,0.002870128582721164,65
6,library,-0.3332409362234167,9.444533122221796e-05,132
6,mall,-0.17988846173294185,0.038272370201956084,133
6,play,-0.21971572049176785,0.005852417252140071,156
6,restaurant,0.36948299558909703,0.00702341918945934,52
7,bakery,0.1106524725203583,0.3285028061881533,80
7,closet,-0.11144293996296248,0.2771489526492851,97
7,corner,0.09395723650530503,0.3334380471063193,108
7,fitness,0.36018550986342357,0.0040328319730160945,62
7,fridge,0.3998292787648487,0.01568983204245219,36
7,garage,0.07949763518823018,0.4462677052145152,94
7,handbag,0.31132481103944265,0.011591118409083424,65
7,library,-0.3595648962631968,2.292679027582647e-05,132
7,mall,-0.2358277599480574,0.006282128739138616,133
7,play,-0.15997809254087983,0.04605124586152762,156
7,restaurant,0.25022051557937863,0.07360141775500689,52
8,bakery,0.12349240081770245,0.27511917872225944,80
8,closet,-0.023612612708065684,0.8184224468789624,97
8,corner,0.018628302499312042,0.8482475260713558,108
8,fitness,0.3750480411382613,0.002668969035272535,62
8,fridge,0.3964735271689719,0.01666926739064991,36
8,garage,0.1657972593810831,0.11025891544842775,94
8,handbag,0.33655569495730575,0.006121293910413966,65
8,library,-0.3375920162919686,7.538825515456542e-05,132
8,mall,-0.22722153474215365,0.008533264072570601,133
8,play,-0.1388594139541958,0.08384661370384669,156
8,restaurant,0.3368150258685978,0.01462348853140452,52
9,bakery,0.1519031236711746,0.17859300206310671,80
9,closet,-0.06637599001950921,0.5183014235813872,97
9,corner,-0.057255521251992784,0.5561455681924434,108
9,fitness,0.42704815861217316,0.0005371200615747998,62
9,fridge,0.4731286330784336,0.003565419071447814,36
9,garage,0.12213368966067074,0.24092313181796038,94
9,handbag,0.3412485218104808,0.005404408848082405,65
