NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood,median_log_likelihood,std_log_likelihood,min_log_likelihood,max_log_likelihood
cloze,Cloze Probability,set,bag,1152,8,-0.7350548673906702,-0.4246479275249383,0.8762370892836598,-5.115995809754082,-0.002002002670673
cloze,Cloze Probability,set,bakery,1704,8,-0.9465261563563014,-0.5141645250315053,1.0708229853860112,-5.115995809754082,-0.006018072325563
cloze,Cloze Probability,set,beach,1704,8,-1.0130458689583548,-0.4462871026284195,1.1232451676912598,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,set,cold,736,8,-0.5671343686211798,-0.0768810443359576,0.9482002911679307,-5.115995809754082,-0.006018072325563
cloze,Cloze Probability,set,cut,1704,8,-0.7525231065157106,-0.1053605156578262,1.188216787193694,-5.521460917862246,-0.0040080213975388
cloze,Cloze Probability,set,fridge,1704,8,-0.7546765842993097,-0.0576291128366364,2.727442413019145,-23.025850929940457,0.0
cloze,Cloze Probability,set,gym,1104,8,-1.0769517601317162,-0.8675005677047231,0.8758812642140604,-4.422848629194137,-0.0120725812342692
cloze,Cloze Probability,set,hot,1704,8,-0.8405428941643701,-0.0921152889078056,2.5567837350043208,-23.025850929940457,0.0
cloze,Cloze Probability,set,mask,1144,8,-1.526796773163605,-0.2181560098031706,4.573220263503031,-23.025850929940457,0.0
cloze,Cloze Probability,set,meat,1168,8,-1.1784948818380696,-0.8722738464573808,1.1262043241979287,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,set,restaurant,1704,8,-1.0006683698647845,-0.4215944900380479,1.2180565913606407,-5.521460917862246,-0.0040080213975388
cloze,Cloze Probability,set,salad,1120,8,-0.8891294438328261,-0.176737178500054,1.2400911424208618,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,set,science,1704,8,-1.5928489223662248,-1.1647520911726543,1.508449769089378,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,set,throw,1104,8,-0.8955290591315342,-0.4652151125139384,1.0254612087058181,-4.422848629194136,-0.0120725812342692
cloze,Cloze Probability,set,transport,768,8,-0.7482324170325493,-0.0534007767271152,1.415015124719542,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,ordering,bag,144,1,-0.9693975727845161,-0.657780036722654,0.8908705291007212,-3.729701448634192,-0.0120725812342692
cloze,Cloze Probability,ordering,bakery,213,1,-0.7721915767147407,-0.5621189181535413,0.744720175115471,-3.729701448634191,-0.0242926925690445
cloze,Cloze Probability,ordering,beach,213,1,-0.8162058162083663,-0.6616485135005743,0.8151254875131946,-4.135166556742356,-0.0161293819298836
cloze,Cloze Probability,ordering,cold,92,1,-0.6643161123225729,-0.0790432073404528,1.042491061810651,-3.4420193761824103,-0.03252319170556
cloze,Cloze Probability,ordering,cut,213,1,-0.6991275474852806,-0.4094731295057031,0.7810954343104304,-4.268697949366879,-0.0140989243795016
cloze,Cloze Probability,ordering,fridge,213,1,-3.0112959133945028,-0.5621189181535411,7.172263289709913,-23.025850929940457,0.0
cloze,Cloze Probability,ordering,gym,138,1,-0.7459961354827636,-0.4588658848352796,0.6881710451298046,-3.44201937618241,-0.03252319170556
cloze,Cloze Probability,ordering,hot,213,1,-2.1255757022831254,-0.1075852106799374,5.506049538189796,-23.025850929940457,0.0
cloze,Cloze Probability,ordering,mask,143,1,-2.935907876613536,-0.1863295781914934,7.180349756368545,-23.025850929940457,0.0
cloze,Cloze Probability,ordering,meat,146,1,-0.8159213042073997,-0.3038114543816645,0.8929189335661449,-4.605170185988091,-0.0100503358535014
cloze,Cloze Probability,ordering,restaurant,213,1,-0.5599318559677371,-0.41855034765682,0.5825165327983306,-3.123565645063875,-0.0429075010112765
cloze,Cloze Probability,ordering,salad,140,1,-0.7546178139898292,-0.2957142441490452,0.8911113254360775,-5.115995809754081,-0.006018072325563
cloze,Cloze Probability,ordering,science,213,1,-0.914279122378842,-0.3886079910417414,0.9093987094356708,-4.017383521085972,-0.0181639706276711
cloze,Cloze Probability,ordering,throw,138,1,-0.8267159564433783,-0.4494169956373471,0.8551017903848528,-3.44201937618241,-0.0304592074847085
cloze,Cloze Probability,ordering,transport,96,1,-0.7386445960505877,-0.6957459223336084,0.8959316556591096,-4.8283137373023015,-0.0080321716972642
cloze,Cloze Probability,conjunction,bag,1152,8,-1.0208322406201558,-0.4684049078820385,1.085219220396532,-5.115995809754082,-0.0040080213975388
cloze,Cloze Probability,conjunction,bakery,1704,8,-1.0919392412247717,-0.6292356148312174,1.1441501364865894,-5.115995809754082,-0.006018072325563
cloze,Cloze Probability,conjunction,beach,1704,8,-1.0365672766239435,-0.371063681390832,1.1693600099894137,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,conjunction,cold,736,8,-0.620873084929025,-0.0576291128366364,1.0441615244450826,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,conjunction,cut,1704,8,-0.7879790983841819,-0.089924707527987,1.241154854798043,-5.521460917862246,-0.0040080213975388
cloze,Cloze Probability,conjunction,fridge,1704,8,-0.8956602876584515,-0.26921832873708645,2.4269700135351457,-23.025850929940457,0.0
cloze,Cloze Probability,conjunction,gym,1104,8,-1.266103144586975,-1.1973501909509257,0.9042291949154334,-4.422848629194137,-0.0100503358535014
cloze,Cloze Probability,conjunction,hot,1704,8,-0.8576878048015036,-0.0682788407532944,2.572073075475349,-23.025850929940457,0.0
cloze,Cloze Probability,conjunction,mask,1144,8,-1.5540494884941958,-0.191160505461159,4.576436663929072,-23.025850929940457,0.0
cloze,Cloze Probability,conjunction,meat,1168,8,-1.3778557628212111,-1.3823102762953021,1.382694127205239,-23.025850929940457,0.0
cloze,Cloze Probability,conjunction,restaurant,1704,8,-0.9975007124944807,-0.4307829160924542,1.2273534456105273,-5.521460917862246,-0.0040080213975388
cloze,Cloze Probability,conjunction,salad,1120,8,-0.940449151935069,-0.1672359193759138,1.280322607013707,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,conjunction,science,1704,8,-1.731424115205792,-1.487220279709851,1.6860435571943844,-23.025850929940457,0.0
cloze,Cloze Probability,conjunction,throw,1104,8,-1.0625330837167029,-0.3652833184753326,1.158156088010163,-4.268697949366879,-0.0100503358535014
cloze,Cloze Probability,conjunction,transport,768,8,-0.7642570356325927,-0.0470916075338505,1.4526786656745083,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,disjunction,bag,1152,8,-0.7568882395063844,-0.4431669752921758,0.780168766494858,-3.912023005428145,0.0
cloze,Cloze Probability,disjunction,bakery,1704,8,-0.6710160474313661,-0.4494169956373471,0.71692052950536,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,disjunction,beach,1704,8,-0.8210890445602356,-0.6273594400219421,0.8343453996949026,-4.828313737302301,-0.006018072325563
cloze,Cloze Probability,disjunction,cold,736,8,-0.6662561539659762,-0.08776036744839215,1.1277637190048595,-4.828313737302301,-0.0080321716972642
cloze,Cloze Probability,disjunction,cut,1704,8,-0.6716914919921629,-0.4094731295057031,0.7440599724254828,-5.521460917862245,0.0
cloze,Cloze Probability,disjunction,fridge,1704,8,-2.898729836993632,-0.0366639843715914,7.340000170853479,-23.025850929940457,0.0
cloze,Cloze Probability,disjunction,gym,1104,8,-0.6026223962727242,-0.4185503476568198,0.6175356890116653,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,disjunction,hot,1704,8,-2.253373193050586,-0.1461825101780814,5.7610952440106935,-23.025850929940457,0.0
cloze,Cloze Probability,disjunction,mask,1144,8,-2.9293082907289016,-0.208254938820459,7.159792704444711,-23.025850929940457,0.0
cloze,Cloze Probability,disjunction,meat,1168,8,-0.6788575019747255,-0.3011050927839216,0.7132138940670767,-4.422848629194137,-0.0040080213975388
cloze,Cloze Probability,disjunction,restaurant,1704,8,-0.6016696078046071,-0.4094731295057031,0.7111457013192447,-6.214608098422191,-0.002002002670673
cloze,Cloze Probability,disjunction,salad,1120,8,-0.7554143066285999,-0.2998648499359987,1.2642177397814214,-23.025850929940457,0.0
cloze,Cloze Probability,disjunction,science,1704,8,-0.837266030630081,-0.3886079910417414,0.9164778262305409,-5.521460917862246,-0.002002002670673
cloze,Cloze Probability,disjunction,throw,1104,8,-0.6598043785499771,-0.4845135861797204,0.6599259441663785,-6.214608098422191,0.0
cloze,Cloze Probability,disjunction,transport,768,8,-0.741677663434141,-0.6957459223336084,0.8765214854674583,-6.214608098422191,-0.002002002670673
