split_id,mean_rho
0,0.07617465279422048
1,0.06648085062587827
2,0.09985894478981541
3,0.10282114812522923
4,0.06539041454672637
5,0.11888666479041278
6,0.09729008645175354
7,0.06716852461326277
8,0.09322951583044095
9,0.07634791153375485
10,0.08192398958102164
11,0.1059441958706473
12,0.0972697823936476
13,0.0801236292339282
14,0.08714598048121826
15,0.06251934257785098
16,0.08303819607629434
17,0.10180656372016826
18,0.05450160548666996
19,0.09678555715996146
20,0.10123623681458964
21,0.08925673386913067
22,0.09074122782313834
23,0.06747616724620062
24,0.06430030126904691
25,0.10990720566439868
26,0.0818868586078463
27,0.08910393779222796
28,0.10509436764621222
29,0.10304530292166826
30,0.08886680747961305
31,0.09566501352153556
32,0.08486499981036759
33,0.07730918187611742
34,0.11136201825454073
35,0.0736461603084667
36,0.08145941808139985
37,0.10178706216043802
38,0.04721345274660569
39,0.11335959309752443
40,0.1005146427474679
41,0.08721043459764194
42,0.0769844285785289
43,0.09479625902978374
44,0.08361140076668185
45,0.08906334919605262
46,0.10218250048692887
47,0.10252183329127317
48,0.06758166712895303
49,0.085284917972917
50,0.08350772892839874
51,0.07126920121001837
52,0.08969010121987532
53,0.06775977643621575
54,0.05496180471697629
55,0.07881634657715278
56,0.04455672075468809
57,0.08183746403577309
58,0.07016586904116377
59,0.06502872307521156
60,0.08422736267630242
61,0.07960273888455435
62,0.08722553342634697
63,0.05198139477623695
64,0.0829951521104651
65,0.06588731925269681
66,0.06875056956688363
67,0.08573131498208268
68,0.08832276633704614
69,0.09856561927911986
70,0.11224180926035827
71,0.050310717733814195
72,0.07363584150770017
73,0.07909845091654771
74,0.09579211604658652
75,0.09184520214784545
76,0.09204692434143946
77,0.10360269197273246
78,0.0841977058918163
79,0.06622970657602784
80,0.07876168784709069
81,0.10087760657173218
82,0.10059013889692775
83,0.07951607921149008
84,0.12083895131490502
85,0.08896612030126977
86,0.088334970032538
87,0.097816489754352
88,0.10609487314815048
89,0.06507032429366781
90,0.08564641364289653
91,0.07197996673369116
92,0.04286231624618102
93,0.10633953526461251
94,0.10256031309709807
95,0.09361983079534379
96,0.07604742607846537
97,0.09317536433689161
98,0.10464662650323636
99,0.0682660745967448
