split_id,context,spearman_rho,p_value,variance_rho
0,bakery,0.1758521624624201,0.11868878919877908,7.703719777548943e-34
0,closet,0.0303135631029896,0.7681838209849581,0.0
0,corner,0.00031996366432697346,0.9973777830458497,1.1754943508222875e-38
0,fitness,0.31387463972516744,0.01298117488425586,3.0814879110195774e-33
0,fridge,0.44849689023017125,0.006080081857374932,1.232595164407831e-32
0,garage,0.05746805159540304,0.5822003881359794,4.333342374871281e-34
0,handbag,0.22298143623238703,0.0741956801190011,7.703719777548943e-34
0,library,-0.28193086430072495,0.0010565116838784584,0.0
0,mall,-0.25199682213760194,0.0034322805323529944,3.0814879110195774e-33
0,play,-0.20414486986946842,0.010580991461980676,7.703719777548943e-34
0,restaurant,0.32668703003135524,0.018090206959870406,2.7733391199176196e-32
1,bakery,0.11537985360070055,0.30812922156946543,7.703719777548943e-34
1,closet,-0.10557031807372827,0.30341043136086654,1.7333369499485123e-33
1,corner,0.023326194926797803,0.8106211621393203,0.0
1,fitness,0.4097730367850871,0.0009415853930540754,1.232595164407831e-32
1,fridge,0.4364783958963451,0.00778168185107961,0.0
1,garage,0.17756206175162786,0.08687316603924354,3.0814879110195774e-33
1,handbag,0.3728555954184902,0.0022218674411748117,0.0
1,library,-0.34398318503289116,5.381167198996294e-05,1.232595164407831e-32
1,mall,-0.27779379300521595,0.0012062501770465227,3.0814879110195774e-33
1,play,-0.24761438466605434,0.0018300555796691887,6.933347799794049e-33
1,restaurant,0.17087589928350214,0.22582571532373366,7.703719777548943e-34
2,bakery,0.12522105754683732,0.2684034102723512,7.703719777548943e-34
2,closet,-0.08223511093940754,0.4232590441660602,1.925929944387236e-34
2,corner,0.07813790023184729,0.42150444991625646,0.0
2,fitness,0.44759885514639464,0.00026466579581734396,3.0814879110195774e-33
2,fridge,0.461965402332303,0.00456296151557917,1.232595164407831e-32
2,garage,0.13680578497376455,0.18856848166921583,7.703719777548943e-34
2,handbag,0.3406144976648067,0.005496725304836295,1.232595164407831e-32
2,library,-0.3522243208350437,3.4460653343901406e-05,2.7733391199176196e-32
2,mall,-0.2650517276745099,0.0020477979456241806,3.0814879110195774e-33
2,play,-0.11301986826071969,0.16008970683477497,1.7333369499485123e-33
2,restaurant,0.32063592250169687,0.020477081458806796,3.0814879110195774e-33
3,bakery,0.13240074427464668,0.24169815880085302,7.703719777548943e-34
3,closet,-0.01241304910495929,0.9039491536258579,1.2037062152420224e-35
3,corner,-0.029912254729122387,0.7586082946873878,0.0
3,fitness,0.3621631273871093,0.0038214973089524588,3.0814879110195774e-33
3,fridge,0.5702864766884618,0.0002820365888734037,4.930380657631324e-32
3,garage,0.15437808181760693,0.1373726576973822,3.0814879110195774e-33
3,handbag,0.30985141394627375,0.012012371537342982,0.0
3,library,-0.3630146523540472,1.886499875410256e-05,1.232595164407831e-32
3,mall,-0.19882936370002852,0.021771864282977275,7.703719777548943e-34
3,play,-0.06768306714673461,0.40117440015119843,0.0
3,restaurant,0.273805172298315,0.049512213432481134,3.0814879110195774e-33
4,bakery,0.038324309431203456,0.7357308349021956,4.81482486096809e-35
4,closet,-0.10345203808518755,0.31326983476799825,1.925929944387236e-34
4,corner,-0.0019357357272375946,0.9841369537947815,4.70197740328915e-38
4,fitness,0.2961985673008932,0.019411876382254802,1.232595164407831e-32
4,fridge,0.4494744235684644,0.0059569828309136465,3.0814879110195774e-33
4,garage,0.11672893946695735,0.2625340716903708,0.0
4,handbag,0.44489066608036887,0.0002047208957756239,2.7733391199176196e-32
4,library,-0.39983313730603987,2.0372163018319557e-06,0.0
4,mall,-0.20826812172804626,0.016144425783779906,0.0
4,play,-0.1969193704726861,0.013742820472474652,7.703719777548943e-34
4,restaurant,0.28408605748530014,0.04124701390889538,3.0814879110195774e-33
5,bakery,0.16965895464797967,0.13244668652196975,7.703719777548943e-34
5,closet,0.038118933711544734,0.7108641063023684,4.81482486096809e-35
5,corner,0.017791486515202064,0.8549882656502067,1.2037062152420224e-35
5,fitness,0.4141286988828229,0.0008196096173307564,2.7733391199176196e-32
5,fridge,0.47393580660464985,0.0035012744536778067,0.0
5,garage,0.15464225743584997,0.13669294792581638,3.0814879110195774e-33
5,handbag,0.3322631685254082,0.006848877985118817,0.0
5,library,-0.30372092851417476,0.00039965786358453736,1.232595164407831e-32
5,mall,-0.13889456963376764,0.110840075264236,0.0
5,play,-0.18485563251535223,0.020875738963515012,0.0
5,restaurant,0.33468513703437786,0.015301119811615029,0.0
6,bakery,0.17353411426792714,0.12370347540869364,0.0
6,closet,-0.06307176191879589,0.5393848276666502,0.0
6,corner,0.04065117877475773,0.6761545007332055,4.81482486096809e-35
6,fitness,0.4104444580718127,0.0009217737949583195,0.0
6,fridge,0.44131389235882007,0.00705357655179175,3.0814879110195774e-33
6,garage,0.06661125050234026,0.5235465671315236,7.703719777548943e-34
6,handbag,0.36406994177145635,0.002870128582721164,2.7733391199176196e-32
6,library,-0.3332409362234167,9.444533122221796e-05,0.0
6,mall,-0.17988846173294185,0.038272370201956084,1.232595164407831e-32
6,play,-0.21971572049176785,0.005852417252140071,7.703719777548943e-34
6,restaurant,0.36948299558909703,0.00702341918945934,3.0814879110195774e-33
7,bakery,0.1106524725203583,0.3285028061881533,1.925929944387236e-34
7,closet,-0.11144293996296248,0.2771489526492851,0.0
7,corner,0.09395723650530503,0.3334380471063193,7.703719777548943e-34
7,fitness,0.36018550986342357,0.0040328319730160945,2.7733391199176196e-32
7,fridge,0.3998292787648487,0.01568983204245219,3.0814879110195774e-33
