llm_name,mean_spearman
Qwen2-7B,0.44825649960380465
Llama-3.2-3B,0.41061051162048096
DeepSeek-Coder-1.3B,0.3802383722619777
BERT-Large-WWM,0.37565923084676955
GPT-2,0.33065231335258194
