fridge_pos,fridge_neg,handbag_pos,handbag_neg,mall_pos,mall_neg,bakery_pos,bakery_neg,play_pos,play_neg,corner_pos,corner_neg,restaurant_pos,restaurant_neg,fitness_pos,fitness_neg,library_pos,library_neg,garage_pos,garage_neg,closet_pos,closet_neg
"('smoothie', 1)","('milk', 3)","('markers', 2)","('medicine', 3)","('pasta', 3)","('bathroom', 4)","('cinnamon rolls', 3)","('fruit', 3)","('crayons', 4)","('art', 3)","('cabbage', 4)","('pretzels', 3)","('hard seltzer', 2)","('ice cream', 5)","('flag football', 3)","('boxing', 4)","('encyclopedia', 2)","('architecture', 3)","('baseballs', 2)","('auto gear', 4)","('wet suit', 3)","('socks', 4)"
"('limeade', 1)","('jelly', 3)","('quill', 2)","('hand sanitizer', 3)","('subs', 2)","('makeup', 4)","('fudge', 2)","('vegetables', 3)","('football', 4)","('shelves', 3)","('chicken salad', 3)","('hot dogs', 3)","('wine coolers', 2)","('tacos', 4)","('wrestling', 3)","('cardio', 3)","('nature', 2)","('accounting', 3)","('footballs', 2)","('gardening supplies', 3)","('robe', 3)","('toys', 3)"
"('sports drinks', 1)","('pie', 2)","('nail polish', 2)","('books', 3)","('ice cream', 2)","('book', 3)","('chocolate', 2)","('scones', 3)","('trucks', 4)","('paintings', 3)","('broccoli', 3)","('donuts', 3)","('lemonade', 2)","('appetizers', 4)","('running', 3)","('stretching', 3)","('ecology', 2)","('computer programming', 3)","('medicine ball', 2)","('toolbox', 3)","('jeans', 3)","('storage', 3)"
"('coke', 1)","('steak', 2)","('charcoal', 2)","('lip stick', 3)","('asian', 2)","('glasses', 3)","('truffles', 2)","('bagel', 3)","('toy cars', 4)","('microwave', 3)","('crutons', 3)","('coffee', 3)","('iced tea', 2)","('bread', 4)","('yoga', 3)","('fencing', 3)","('books', 2)","('crafts', 3)","('basket ball', 2)","('broom', 3)","('swimsuits', 3)","('belt', 3)"
"('iced tea', 1)","('juice', 2)","('lip stick', 2)","('perfume', 3)","('chick fil a', 2)","('arcade', 2)","('candy', 2)","('biscuit', 3)","('cars', 4)","('dishwasher', 3)","('peppers', 3)","('jerky', 3)","('scotch', 2)","('soup', 4)","('golf', 3)","('weight lifting', 3)","('encyclopedias', 2)","('creative writing', 3)","('stick', 2)","('freezer', 3)","('towel', 3)","('dress', 3)"
"('sodas', 1)","('sour cream', 2)","('tablet', 2)","('tissue', 3)","(""auntie anne's"", 2)","('luggage', 2)","('notsure', 2)","('meat', 2)","('stuffed animals', 3)","('toilet', 2)","('arugula', 3)","('drinks', 3)","('bourbon', 2)","('sandwich', 3)","('ultimate frisbee', 3)","('jogging', 3)","('sociology', 2)","('religion', 3)","('dodge ball', 2)","('chairs', 2)","('towels', 2)","('dress shirt', 3)"
"('slurpee', 1)","('rice', 2)","('eye liner', 2)","('headphones', 3)","('spaghetti', 2)","('repair', 2)","('apple fritters', 2)","('chips', 2)","('ipad', 3)","('paper', 2)","('ranch', 2)","('energy drinks', 3)","('milk', 2)","('coffee', 3)","('badminton', 3)","('strength training', 3)","('mechanics', 2)","('french', 3)","('rubber ball', 2)","('workbench', 2)","('jumpsuit', 2)","('dresses', 3)"
"('redbull', 1)","('ketchup', 1)","('envelope', 2)","('pepper spray', 2)","('japanese', 2)","('video game', 2)","('turnovers', 2)","('donuts', 2)","('tablet', 3)","('phone', 2)","('blue cheese', 2)","('wine', 3)","('margaritas', 2)","('milk', 3)","('pickleball', 2)","('nutrition', 3)","('science for dummies', 2)","('calculus', 3)","('badminton', 2)","('refrigerator', 2)","('dress shirt', 2)","('dress shirts', 3)"
"('sporade', 1)","('overnight oats', 1)","('eyebrow pencil', 2)","('binder', 2)","('panerbread', 2)","('art', 2)","('danish', 2)","('toast', 2)","('playstation', 3)","('fan', 2)","('vinegar', 2)","('rice', 3)","('champagne', 2)","('hamburger', 3)","('bowling', 2)","('calisthenics', 2)","('astrophysics', 2)","('americhistory', 2)","('beachball', 2)","('trash can', 2)","('cover-up', 2)","('belts', 3)"
"('rootbeer', 1)","('hot dogs', 1)","('eybrow pencil', 1)","('paper', 2)","('wendys', 2)","('hardware', 2)","('bread', 2)","('salads', 2)","('lincoln logs', 3)","('vacuum cleaner', 2)","('eggs', 2)","('gum', 3)","('high balls', 1)","('pie', 3)","('spin', 2)","('skiing', 2)","('archaeology', 2)","('writing', 2)","('handball', 2)","('snowblower', 2)","('skirt', 2)","('hat', 3)"
"('energy drink', 1)","('biscuits', 1)","('crayons', 1)","('notsure', 2)","('soup', 2)","('candy', 2)","('pretzels', 2)","('potato chips', 2)","('baseball', 3)","('gun', 2)","('fruit salad', 2)","('pizza', 3)","('ice tea', 1)","('cheese sticks', 2)","('aerobics', 2)","('gymnastics', 2)","('math', 2)","('biographies', 2)","('lawn darts', 2)","('ladder', 2)","('vest', 2)","('safe', 3)"
"('cake', 1)","('syrup', 1)","('highlighters', 1)","('candy', 2)","(""wendy's"", 2)","('fountain', 2)","('crullers', 2)","('jerky', 2)","('basketball', 3)","('makeup', 2)","('fruit', 2)","('lottery tickets', 2)","('diet coke', 1)","('french fries', 2)","('badmitton', 2)","('hiit', 2)","('basic science', 1)","('art history', 2)","('bouncy ball', 2)","('old clothes', 2)","('t-shirts', 2)","('robe', 3)"
"('vegetable', 1)","('fish', 1)","('my ipad', 1)","('brush', 2)","('hot dog on stick', 2)","('escalators', 2)","('cream', 1)","('dinner rolls', 2)","('games', 3)","('pencils', 2)","('chicken', 2)","('beef', 2)","('orange soda', 1)","('spaghetti', 2)","('lacross', 1)","('dancing', 2)","('theoretical', 1)","('government', 2)","('cornhole', 1)","('cabinet', 2)","('tank tops', 2)","('long sleeve shirt', 2)"
