scope_type,scope,structure,item_count,response_count,pearson_r,spearman_rho,total_log_likelihood,mean_log_score,baseline_total_log_likelihood,baseline_mean_log_score,delta_mean_log_score_vs_intercept
overall,all,set,480,3408,0.5504047625513202,0.5922081721836002,-4516.58841989034,-1.3252900293105458,-2378.8303045038183,-0.6980135870022941,-0.6272764423082519
overall,all,ordering,480,3408,0.475583907250614,0.5135519792549499,-4691.688894931965,-1.3766692766819144,-2378.8303045038183,-0.6980135870022941,-0.6786556896796204
overall,all,conjunction,480,3408,0.5422027460119423,0.5937225383967929,-4848.1557869613425,-1.4225809234041498,-2378.8303045038183,-0.6980135870022941,-0.7245673364018557
overall,all,disjunction,480,3408,0.5309985576911984,0.5927770715952086,-4502.26111378615,-1.3210860075663586,-2378.8303045038183,-0.6980135870022941,-0.6230724205640646
condition,novel_focus::focus_alternative_study::focus_only,set,480,3408,0.5504047625513202,0.5922081721836002,-4516.58841989034,-1.3252900293105458,-2378.8303045038183,-0.6980135870022941,-0.6272764423082519
condition,novel_focus::focus_alternative_study::focus_only,ordering,480,3408,0.475583907250614,0.5135519792549499,-4691.688894931965,-1.3766692766819144,-2378.8303045038183,-0.6980135870022941,-0.6786556896796204
condition,novel_focus::focus_alternative_study::focus_only,conjunction,480,3408,0.5422027460119423,0.5937225383967929,-4848.1557869613425,-1.4225809234041498,-2378.8303045038183,-0.6980135870022941,-0.7245673364018557
condition,novel_focus::focus_alternative_study::focus_only,disjunction,480,3408,0.5309985576911984,0.5927770715952086,-4502.26111378615,-1.3210860075663586,-2378.8303045038183,-0.6980135870022941,-0.6230724205640646
