mass_boundary,highest_ranked_candidate_count,attained_mass
0.5,1,0.6522432897840695
0.6,1,0.6522432897840695
0.7,3,0.7176979083404857
0.8,18,0.8001266550829048
0.9,184,0.9001012582445439
0.95,824,0.9500117742209099
