vocab_index_zero_based,candidate,vocabulary_source,vocabulary_path,source_line_one_based,saved_log_score,unnormalized_continuation_probability,normalized_sampling_probability,rank_one_based,descending_cumulative_probability,theoretical_inclusion_p06,expected_inclusions_in_500_p06
82753,bandana,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,82754,-12.081671714782715,5.662349109819195e-06,0.0003010473535220344,134,0.8873058086332447,0.0004613439062893245,0.23067195314466224
12192,handkerchief,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,12193,-12.645214080810547,3.2229480273537823e-06,0.00017135290589754876,220,0.9069631247575053,0.0002626441754756524,0.1313220877378262
33223,napkins,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,33224,-18.094371795654297,1.3858434567182165e-08,7.368046316984664e-07,9968,0.9954736955358273,1.129645656629506e-06,0.000564822828314753
9948,gloves,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,9949,-13.588266372680664,1.2551363163410367e-06,6.673122038494893e-05,486,0.9341334299842291,0.00010229985472581487,0.05114992736290743
19646,wallet,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,19647,-13.822641372680664,9.928945492185545e-07,5.2788740250995155e-05,594,0.9404895572635975,8.092757566536093e-05,0.04046378783268046
10717,candy,1gram,/users/ljohnst7/data/ljohnst7/ngrams/set_variant_qwen_support/vocab_1gram.txt,10718,-15.307016372680664,2.2503354146361631e-07,1.1964248547274026e-05,1862,0.9706752423624904,1.8342893327886845e-05,0.009171446663943423
