boundary,n,mean,std,min,q05,q25,q50,q75,q95,max
0.6,500,1.456,0.7932985852064665,1,1.0,1.0,1.0,2.0,3.0,7
0.7,500,9.528,4.337608291602962,3,4.0,6.0,9.0,12.0,18.0,26
0.8,500,56.872,9.64622804161615,36,42.0,49.75,56.0,63.0,74.04999999999995,93
0.9,500,429.458,21.72888688014414,379,397.0,413.0,427.5,444.0,467.0,505
0.95,500,1553.878,31.484053220867683,1460,1499.95,1535.0,1555.0,1575.0,1604.0,1635
