set_boundary,num_reps,context,trigger,query,neg,log_likelihood,negation_probability,probability_query_observed
3,500,bakery,water,muffins,0,-0.01816397062767118,0.018,0.982
3,500,bakery,cakes,ice cream,1,-1.5896352851379207,0.204,0.204
3,500,bakery,ice cream,pretzels,1,-4.017383521085972,0.018,0.018
3,500,bakery,ice cream,cakes,1,-1.2946271725940668,0.274,0.274
3,500,bakery,sandwiches,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,sandwiches,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,cakes,ice cream,1,-1.5896352851379207,0.204,0.204
3,500,bakery,muffins,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,cakes,ice cream,1,-1.5896352851379207,0.204,0.204
3,500,bakery,sandwiches,pretzels,1,-3.912023005428146,0.02,0.02
3,500,bakery,sandwiches,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,ice cream,sandwiches,0,0.0,0.0,1.0
3,500,bakery,ice cream,sandwiches,0,0.0,0.0,1.0
3,500,bakery,ice cream,sandwiches,1,-23.025850929940457,0.0,0.0
3,500,bakery,pretzels,sandwiches,1,-23.025850929940457,0.0,0.0
3,500,bakery,ice cream,muffins,0,-0.012072581234269249,0.012,0.988
3,500,bakery,muffins,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,pretzels,cakes,1,-1.1776554960085626,0.308,0.308
3,500,bakery,sandwiches,ice cream,1,-1.4961092271270973,0.224,0.224
3,500,bakery,sandwiches,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,cakes,ice cream,1,-1.5896352851379207,0.204,0.204
3,500,bakery,ice cream,water,0,-0.01005033585350145,0.01,0.99
3,500,bakery,ice cream,water,0,-0.01005033585350145,0.01,0.99
3,500,bakery,sandwiches,pretzels,1,-3.912023005428146,0.02,0.02
3,500,bakery,pretzels,ice cream,1,-1.4961092271270973,0.224,0.224
3,500,bakery,cakes,muffins,0,-0.01816397062767118,0.018,0.982
3,500,bakery,cakes,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,water,muffins,0,-0.01816397062767118,0.018,0.982
3,500,bakery,water,pretzels,1,-3.912023005428146,0.02,0.02
3,500,bakery,water,sandwiches,0,0.0,0.0,1.0
3,500,bakery,ice cream,muffins,0,-0.012072581234269249,0.012,0.988
3,500,bakery,ice cream,water,0,-0.01005033585350145,0.01,0.99
3,500,bakery,cakes,ice cream,1,-1.5896352851379207,0.204,0.204
3,500,bakery,ice cream,pretzels,0,-0.01816397062767118,0.018,0.982
3,500,bakery,water,ice cream,0,-0.25360275879891825,0.224,0.776
3,500,bakery,cakes,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,water,sandwiches,1,-23.025850929940457,0.0,0.0
3,500,bakery,cakes,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,pretzels,ice cream,1,-1.4961092271270973,0.224,0.224
3,500,bakery,cakes,sandwiches,0,0.0,0.0,1.0
3,500,bakery,sandwiches,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,cakes,ice cream,0,-0.22815609313775398,0.204,0.796
3,500,bakery,cakes,pretzels,1,-4.017383521085972,0.018,0.018
3,500,bakery,water,sandwiches,0,0.0,0.0,1.0
3,500,bakery,muffins,cakes,1,-1.1776554960085626,0.308,0.308
3,500,bakery,cakes,muffins,1,-4.017383521085972,0.018,0.018
3,500,bakery,muffins,pretzels,0,-0.020202707317519466,0.02,0.98
3,500,bakery,cakes,sandwiches,1,-23.025850929940457,0.0,0.0
3,500,bakery,cakes,ice cream,1,-1.5896352851379207,0.204,0.204
3,500,bakery,cakes,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,ice cream,cakes,1,-1.2946271725940668,0.274,0.274
3,500,bakery,pretzels,cakes,1,-1.1776554960085626,0.308,0.308
3,500,bakery,cakes,ice cream,0,-0.22815609313775398,0.204,0.796
3,500,bakery,cakes,water,0,-0.012072581234269249,0.012,0.988
3,500,bakery,water,pretzels,1,-3.912023005428146,0.02,0.02
