dataset_family,dataset,condition,analysis_dataset_id,analysis_label,analysis_unit_id,cv_group_id,human_rate,human_yes,human_total,human_count_status,context_count,trigger_logprob_sum,query_logprob_sum,x_but_not_y_applicable,x_but_not_y_logprob_sum,model_revision,cv_fold
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::intimidating/terrifying,hu_2023_benchmark::rx22::intimidating/terrifying,0.175,7.0,40.0,exact,1,-11.491597175598145,-11.890034675598145,True,-8.3338623046875,453ed1575b739b5b03ce3758b23befdb0967f40e,0
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::largely/totally,hu_2023_benchmark::rx22::largely/totally,0.7,28.0,40.0,exact,1,-6.757298469543457,-7.757298469543457,True,-3.9503540992736816,453ed1575b739b5b03ce3758b23befdb0967f40e,1
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::like/love,hu_2023_benchmark::rx22::like/love,0.1,4.0,40.0,exact,1,-7.078839302062988,-6.016339302062988,True,-5.947145938873291,453ed1575b739b5b03ce3758b23befdb0967f40e,2
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::match/exceed,hu_2023_benchmark::rx22::match/exceed,0.875,35.0,40.0,exact,1,-11.801799774169922,-11.801799774169922,True,-4.411618232727051,453ed1575b739b5b03ce3758b23befdb0967f40e,3
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::mostly/entirely,hu_2023_benchmark::rx22::mostly/entirely,0.875,35.0,40.0,exact,1,-5.582132339477539,-7.019632339477539,True,-2.628223180770874,453ed1575b739b5b03ce3758b23befdb0967f40e,4
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::old/ancient,hu_2023_benchmark::rx22::old/ancient,0.325,13.0,40.0,exact,1,-6.236196517944336,-9.829946517944336,True,-4.431243419647217,453ed1575b739b5b03ce3758b23befdb0967f40e,5
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::once/twice,hu_2023_benchmark::rx22::once/twice,0.7,28.0,40.0,exact,1,-6.100472927093506,-8.069223403930664,True,-0.7466673254966736,453ed1575b739b5b03ce3758b23befdb0967f40e,6
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::overweight/obese,hu_2023_benchmark::rx22::overweight/obese,0.1,4.0,40.0,exact,1,-9.118474006652832,-10.962224006652832,True,-2.754599094390869,453ed1575b739b5b03ce3758b23befdb0967f40e,7
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::overwhelmingly/unanimously,hu_2023_benchmark::rx22::overwhelmingly/unanimously,0.6,24.0,40.0,exact,1,-5.936697483062744,-5.561697483062744,True,-1.854927897453308,453ed1575b739b5b03ce3758b23befdb0967f40e,8
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::palatable/delicious,hu_2023_benchmark::rx22::palatable/delicious,0.475,19.0,40.0,exact,1,-12.664220809936523,-6.555606842041016,True,-6.609514236450195,453ed1575b739b5b03ce3758b23befdb0967f40e,9
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::partially/completely,hu_2023_benchmark::rx22::partially/completely,0.95,38.0,40.0,exact,1,-6.54369068145752,-6.04369068145752,True,-3.5363035202026367,453ed1575b739b5b03ce3758b23befdb0967f40e,0
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::permit/require,hu_2023_benchmark::rx22::permit/require,0.65,26.0,40.0,exact,1,-11.093679428100586,-7.018483638763428,True,-4.696670055389404,453ed1575b739b5b03ce3758b23befdb0967f40e,1
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::polished/impeccable,hu_2023_benchmark::rx22::polished/impeccable,0.05,2.0,40.0,exact,1,-8.186553955078125,-9.967803955078123,True,-8.858044624328613,453ed1575b739b5b03ce3758b23befdb0967f40e,2
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::possible/certain,hu_2023_benchmark::rx22::possible/certain,0.825,33.0,40.0,exact,1,-4.63045597076416,-8.06795597076416,True,-5.407339096069336,453ed1575b739b5b03ce3758b23befdb0967f40e,3
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::pretty/beautiful,hu_2023_benchmark::rx22::pretty/beautiful,0.075,3.0,40.0,exact,1,-5.935591697692871,-5.748091697692871,True,-1.5405702590942385,453ed1575b739b5b03ce3758b23befdb0967f40e,4
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::primarily/exclusively,hu_2023_benchmark::rx22::primarily/exclusively,0.775,31.0,40.0,exact,1,-6.7557549476623535,-9.349504470825195,True,-1.6321263313293457,453ed1575b739b5b03ce3758b23befdb0967f40e,5
hu_2023_benchmark,rx22,scalar_inference,hu_rx22,Hu: Ronai & Xiang (2022),rx22::probably/necessarily,hu_2023_benchmark::rx22::probably/necessarily,0.55,22.0,40.0,exact,1,-5.099481582641602,-9.036981582641602,True,-2.179672718048096,453ed1575b739b5b03ce3758b23befdb0967f40e,6
