variant,analysis_dataset_id,dataset,structure,N,mean_oof_log_score
top_p,rnx_eonly,Ronai & Xiang (2024): Eonly,disjunction,60,-1.6880433399291772
top_p,rnx_eonlystrong,Ronai & Xiang (2024): Eonlystrong,set,60,-2.226442253047993
top_p,rnx_eonlystrong,Ronai & Xiang (2024): Eonlystrong,ordering,60,-0.7617216595834134
top_p,rnx_eonlystrong,Ronai & Xiang (2024): Eonlystrong,conjunction,60,-0.8796795525325787
top_p,rnx_eonlystrong,Ronai & Xiang (2024): Eonlystrong,disjunction,60,-2.1933930522853733
top_p,rnx_esi,Ronai & Xiang (2024): ESI,set,60,-2.6940124575732143
top_p,rnx_esi,Ronai & Xiang (2024): ESI,ordering,60,-1.3237688009812478
top_p,rnx_esi,Ronai & Xiang (2024): ESI,conjunction,60,-2.4623214225967724
top_p,rnx_esi,Ronai & Xiang (2024): ESI,disjunction,60,-1.597218399826508
top_p,rnx_estrong,Ronai & Xiang (2024): Estrong,set,60,-7.0774695861483155
top_p,rnx_estrong,Ronai & Xiang (2024): Estrong,ordering,60,-1.9768338846167375
top_p,rnx_estrong,Ronai & Xiang (2024): Estrong,conjunction,60,-1.9448144941671042
top_p,rnx_estrong,Ronai & Xiang (2024): Estrong,disjunction,60,-7.449360247546332
top_p,rnx_eweak,Ronai & Xiang (2024): Eweak,set,60,-2.740930221424109
top_p,rnx_eweak,Ronai & Xiang (2024): Eweak,ordering,60,-2.2059695896792784
top_p,rnx_eweak,Ronai & Xiang (2024): Eweak,conjunction,60,-2.4601925439085983
top_p,rnx_eweak,Ronai & Xiang (2024): Eweak,disjunction,60,-2.4896685078607534
