NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,observed_rows,observed_boundaries,observed_contexts,average_log_likelihood,median_log_likelihood,std_log_likelihood,min_log_likelihood,max_log_likelihood,log_floor_rows,log_floor_rate,ci_lower,ci_upper,ci_level,bootstrap_samples,zero_probability_rows,zero_probability_rate,boundary_rows_min,boundary_rows_max,boundary_rows_range,boundary_rows_imbalanced,missing_rows,missing_boundaries,missing_contexts,missing_query_rows,missing_trigger_rows,total_candidate_rows,coverage
frequency,Frequency,ordering,1385,1,14,-1.2742651791342674,-0.916290731874155,1.3068085019003237,-6.214608098422191,0.0,0,0.0,-1.5213969193044552,-1.06222525029751,0.95,1000,0,0.0,1385,1385,0,False,0,0,0,0,0,1385,1.0
frequency,Frequency,set,30470,22,14,-12.56658441842214,-23.025850929940457,11.273942765202575,-23.025850929940457,0.0,16295,0.534788316376764,-14.732519818988976,-9.967159647578988,0.95,1000,16295,0.534788316376764,1385,1385,0,False,0,0,0,0,0,30470,1.0
frequency,Frequency,conjunction,6925,5,14,-12.720204291220261,-23.025850929940457,11.290448848904692,-23.025850929940457,0.0,3761,0.5431046931407942,-15.053861577723241,-10.239067383037852,0.95,1000,3761,0.5431046931407942,1385,1385,0,False,0,0,0,0,0,6925,1.0
frequency,Frequency,disjunction,6925,5,14,-1.4356737089413911,-0.9416085398584448,2.4079107785522016,-23.025850929940457,0.0,63,0.009097472924187725,-1.974156380601529,-1.0781271245484214,0.95,1000,63,0.009097472924187725,1385,1385,0,False,0,0,0,0,0,6925,1.0
