context,trigger,word,cosine_similarity
bag,cash,bribe,0.40665385
bag,cash,attaining,0.4064518
bag,cash,rotating,0.40639675
bag,cash,ferocious,0.40632433
bag,cash,bolivian,0.40632063
bag,cash,gothenburg,0.40614974
bag,cash,cheaper,0.40606415
bag,cash,currency,0.40597212
bag,cash,distal,0.40578818
bag,pen,pen,0.9999999
bag,pen,pens,0.55141807
bag,pen,pencil,0.45912644
bag,pen,penned,0.45155966
bag,pen,cw,0.4195579
bag,pen,forceful,0.418545
bag,pen,infused,0.41685736
bag,pen,darting,0.4145773
bag,pen,fifteenth,0.41446546
bag,pen,fourteenth,0.41426983
bag,pen,recapture,0.41416207
bag,pen,proctor,0.41406977
bag,pen,thirteenth,0.4134715
bag,pen,bonn,0.4118623
bag,pen,erase,0.411531
bag,pen,printer,0.4106833
bag,pen,pin,0.4100173
bag,pen,seventeenth,0.4090674
bag,pen,pad,0.40856737
bag,pen,eleventh,0.40837207
bag,pen,cavalier,0.40719944
bag,pen,prism,0.40696517
bag,pen,imaginative,0.4069644
bag,pen,insertion,0.4060657
bag,pen,facilitating,0.40591818
bag,pen,kamal,0.40521967
bag,pen,essen,0.40491953
bag,pen,ink,0.404801
bag,pen,translators,0.40471002
bag,pen,theodor,0.4046824
bag,pen,horst,0.40463772
bag,pen,myriad,0.40445778
bag,pen,printers,0.40431893
bag,pen,twelfth,0.40361238
bag,pen,plume,0.40360993
bag,pen,marin,0.40277308
bag,pen,nan,0.4025656
bag,pen,brush,0.4025556
bag,pen,dharma,0.40247536
bag,pen,brushes,0.4023571
bag,pen,jen,0.40231547
bag,pen,secluded,0.40189317
bag,pen,simeon,0.40181547
bag,pen,sidekick,0.4017619
bag,pen,tuba,0.40035915
bag,pen,scribe,0.40030843
bag,pen,notebook,0.39992568
bag,pen,amman,0.3997852
bag,pen,slips,0.3992082
bag,pen,wilton,0.39907274
bag,pen,tormented,0.39901292
bag,pen,write,0.3985769
bag,pen,mill,0.39793837
bag,pen,palma,0.39774936
bag,pen,forcefully,0.39773867
bag,pen,kyiv,0.39735782
bag,pen,inspirational,0.39732194
bag,pen,jena,0.39730394
bag,pen,creativity,0.39710063
bag,pen,impoverished,0.39710006
bag,pen,parrot,0.39707124
bag,pen,wrexham,0.39692855
bag,pen,peas,0.39642376
bag,pen,harrow,0.39634627
bag,pen,tx,0.39630055
bag,pen,truncated,0.39624456
bag,pen,flicking,0.39598525
bag,pen,dialogues,0.39577746
bag,pen,writings,0.39536968
bag,pen,embroidery,0.3952225
bag,pen,pei,0.39508355
bag,pen,alternately,0.395014
bag,pen,picturesque,0.3949446
bag,pen,negotiation,0.39483672
bag,pen,modernized,0.39483184
bag,pen,drafting,0.3943203
bag,pen,heidelberg,0.39428917
bag,pen,tyre,0.3942865
bag,pen,markedly,0.39393184
bag,pen,encompass,0.39390823
bag,pen,nils,0.39371786
bag,pen,programmer,0.3935829
bag,pen,kaplan,0.39354104
bag,pen,grafton,0.39343238
bag,pen,writer,0.3932423
bag,pen,lambda,0.393149
bag,pen,pisa,0.39265805
bag,pen,marker,0.39248237
bag,pen,aldo,0.39245772
bag,pen,naturalist,0.39214915
bag,pen,pulpit,0.3920112
bag,pen,pins,0.39194772
bag,pen,clipped,0.39191204
bag,pen,colourful,0.39179456
bag,pen,tyrant,0.39178228
bag,pen,peng,0.39168227
bag,pen,needle,0.3914162
bag,pen,pods,0.39136118
bag,pen,authoritarian,0.39119497
bag,pen,hawthorne,0.39117956
bag,makeup,makeup,1.0000001
bag,makeup,lipstick,0.59408617
bag,makeup,mascara,0.5893849
bag,makeup,cosmetics,0.584722
bag,makeup,complexion,0.5399234
bag,makeup,perfume,0.5372205
bag,makeup,outfits,0.5311165
bag,makeup,weaponry,0.53046715
bag,makeup,jewelry,0.51444083
bag,makeup,glendale,0.5106391
bag,makeup,portray,0.51046634
bag,makeup,costumes,0.5087403
bag,makeup,sobbing,0.50833446
bag,makeup,portraying,0.5070087
bag,makeup,smeared,0.5062123
bag,makeup,cosmetic,0.50607884
bag,makeup,outraged,0.5057661
bag,makeup,malibu,0.50570923
bag,makeup,hideous,0.50490296
bag,makeup,pajamas,0.5038708
bag,makeup,wardrobe,0.49801546
bag,makeup,tattooed,0.4979823
bag,makeup,remodeled,0.49726185
bag,makeup,sanford,0.49719033
bag,makeup,seductive,0.4967521
bag,makeup,masks,0.49603102
bag,makeup,staggering,0.49601102
bag,makeup,intimidation,0.49554002
bag,makeup,composing,0.49551004
bag,makeup,influencing,0.49526423
bag,makeup,disgusted,0.49517083
bag,makeup,demographics,0.49515885
bag,makeup,flaws,0.4949687
bag,makeup,sunglasses,0.49480668
bag,makeup,cleanup,0.49460912
bag,makeup,scarred,0.49456924
bag,makeup,biochemistry,0.49421558
bag,makeup,weathered,0.4941937
bag,makeup,tissues,0.49404213
bag,makeup,bandages,0.4939766
bag,makeup,distraught,0.4939052
bag,makeup,confronting,0.49377108
bag,makeup,dazzling,0.4937203
bag,makeup,squinting,0.49365026
bag,makeup,attire,0.49284646
bag,makeup,bathrooms,0.4926787
bag,makeup,nagoya,0.4925425
bag,makeup,altering,0.49219555
bag,makeup,impoverished,0.49118167
bag,makeup,actresses,0.49080172
bag,makeup,escorting,0.4907372
bag,makeup,drastically,0.49061924
bag,makeup,glistening,0.49029475
bag,makeup,grease,0.49028993
bag,makeup,dresses,0.4902838
bag,makeup,cleavage,0.49017948
bag,makeup,oversized,0.48979396
bag,makeup,giggling,0.48977214
bag,makeup,pulsing,0.4897404
bag,makeup,sculpted,0.48936632
bag,makeup,comprise,0.489321
bag,makeup,purification,0.4892081
bag,makeup,scowl,0.48920316
bag,makeup,cologne,0.48890448
bag,makeup,wiping,0.4886303
bag,makeup,relocating,0.48857468
bag,makeup,sweaty,0.48792827
bag,makeup,evaluating,0.4877801
bag,makeup,molina,0.48742875
bag,makeup,almeida,0.48740265
bag,makeup,totaled,0.4872163
bag,makeup,thinner,0.48712242
bag,makeup,secretaries,0.4871056
bag,makeup,sobbed,0.48709032
bag,makeup,declares,0.48684442
bag,makeup,jewellery,0.48661995
bag,makeup,breakup,0.48641837
bag,makeup,spectra,0.48641294
bag,makeup,coloring,0.48633617
bag,makeup,characterization,0.48630565
bag,makeup,seduction,0.48622522
bag,makeup,bridgeport,0.48615006
bag,makeup,assortment,0.48604482
bag,makeup,palette,0.4858819
bag,makeup,earrings,0.4857179
bag,makeup,caucasian,0.48566905
bag,makeup,glossy,0.48565137
bag,makeup,hysteria,0.4855535
bag,makeup,shadowed,0.4852113
bag,makeup,popcorn,0.4850054
bag,makeup,spokane,0.48494345
bag,makeup,crying,0.4849428
bag,makeup,analyzing,0.48481393
bag,makeup,thyroid,0.48478007
bag,makeup,fabrics,0.48474512
bag,makeup,chores,0.4847254
bag,makeup,customized,0.4846129
bag,makeup,abnormalities,0.48460728
bag,makeup,minions,0.48453456
bag,makeup,showcasing,0.48451808
bakery,sandwiches,sandwiches,1.0
bakery,sandwiches,sandwich,0.745352
bakery,sandwiches,snacks,0.70184475
bakery,sandwiches,biscuits,0.6780797
bakery,sandwiches,cakes,0.6754572
bakery,sandwiches,supermarkets,0.6694248
bakery,sandwiches,pajamas,0.65363574
bakery,sandwiches,pancakes,0.65307456
bakery,sandwiches,groceries,0.6521573
bakery,sandwiches,recounted,0.6517925
bakery,sandwiches,facilitates,0.6503768
bakery,sandwiches,cookies,0.650141
bakery,sandwiches,bandages,0.64893264
bakery,sandwiches,dinners,0.6466505
bakery,sandwiches,polymers,0.6464391
bakery,sandwiches,vaccines,0.6448872
bakery,sandwiches,comedians,0.6437545
bakery,sandwiches,cafes,0.64358807
bakery,sandwiches,slabs,0.6431296
bakery,sandwiches,sausage,0.6421063
bakery,sandwiches,snack,0.6419263
bakery,sandwiches,slices,0.6414101
bakery,sandwiches,slicing,0.63887167
bakery,sandwiches,informally,0.6388109
bakery,sandwiches,implementations,0.6387847
bakery,sandwiches,colloquially,0.6382468
bakery,sandwiches,steak,0.63761103
bakery,sandwiches,shrugs,0.6373708
bakery,sandwiches,configurations,0.6366656
bakery,sandwiches,hesitantly,0.63618875
bakery,sandwiches,commandos,0.6360207
bakery,sandwiches,biochemistry,0.6356771
bakery,sandwiches,noodles,0.63513136
bakery,sandwiches,pamphlets,0.63445234
bakery,sandwiches,medications,0.63304037
bakery,sandwiches,ousted,0.63281155
bakery,sandwiches,restaurants,0.6327467
bakery,sandwiches,cartridges,0.63238317
bakery,sandwiches,seminars,0.6319277
bakery,sandwiches,afternoons,0.6316893
bakery,sandwiches,textiles,0.63117373
bakery,sandwiches,markedly,0.63058543
bakery,sandwiches,doctrines,0.63055706
bakery,sandwiches,rations,0.63034344
bakery,sandwiches,appalled,0.630119
bakery,sandwiches,inspections,0.62945557
bakery,sandwiches,shivering,0.6288537
bakery,sandwiches,petitions,0.62881845
bakery,sandwiches,hurrying,0.6278211
bakery,sandwiches,nottinghamshire,0.6270786
bakery,sandwiches,demonstrators,0.62690353
bakery,sandwiches,ecosystems,0.6268803
bakery,sandwiches,recipes,0.6266227
bakery,sandwiches,jolted,0.62655497
bakery,sandwiches,relocating,0.62653625
bakery,sandwiches,grasslands,0.6263723
bakery,sandwiches,vegetarian,0.6263083
bakery,sandwiches,convinces,0.6262963
bakery,sandwiches,pastry,0.6262193
bakery,sandwiches,culinary,0.6259676
bakery,sandwiches,entrepreneurs,0.62593925
bakery,sandwiches,towels,0.625515
bakery,sandwiches,greenville,0.62539136
bakery,sandwiches,spearheaded,0.62525725
bakery,sandwiches,pudding,0.6250545
bakery,sandwiches,befriended,0.6247771
bakery,sandwiches,cafeteria,0.6245623
bakery,sandwiches,quieter,0.6245146
bakery,sandwiches,shipments,0.6244331
bakery,sandwiches,fridays,0.62441254
bakery,sandwiches,periodicals,0.6243905
bakery,sandwiches,reconciled,0.6242684
bakery,sandwiches,sneakers,0.62414086
bakery,sandwiches,diplomats,0.62410414
bakery,sandwiches,rescues,0.6240542
bakery,sandwiches,middlesbrough,0.6240517
bakery,sandwiches,plastics,0.6239645
bakery,sandwiches,antibiotics,0.6238749
bakery,sandwiches,bodyguards,0.6238194
bakery,sandwiches,enjoyable,0.6235435
bakery,sandwiches,beverages,0.6232165
bakery,sandwiches,sandals,0.6227317
bakery,sandwiches,beheaded,0.6225604
bakery,sandwiches,groans,0.6224029
bakery,sandwiches,illnesses,0.6222791
bakery,sandwiches,growls,0.6221036
bakery,sandwiches,carvings,0.6220423
bakery,sandwiches,chatting,0.6218521
bakery,sandwiches,invertebrates,0.6216853
bakery,sandwiches,deportation,0.6214277
bakery,sandwiches,synthesizers,0.6212516
bakery,sandwiches,bribes,0.62111056
bakery,sandwiches,fulham,0.62098765
