context,word,frequency,cloze_probability
fridge,water,48,0.9230769230769231
fridge,juice,42,0.8076923076923077
fridge,soda,41,0.7884615384615384
fridge,milk,29,0.5576923076923077
fridge,beer,25,0.4807692307692308
fridge,tea,20,0.38461538461538464
fridge,lemonade,13,0.25
fridge,wine,11,0.21153846153846154
fridge,coffee,8,0.15384615384615385
fridge,sports drink,6,0.11538461538461539
fridge,seltzer,6,0.11538461538461539
fridge,ice cream,2,0.038461538461538464
fridge,kool-aid,1,0.019230769230769232
fridge,whiskey,1,0.019230769230769232
fridge,sod,1,0.019230769230769232
fridge,juice ,1,0.019230769230769232
fridge,mint water,1,0.019230769230769232
fridge,smoothie,1,0.019230769230769232
fridge,limeade,1,0.019230769230769232
fridge,sports drinks,1,0.019230769230769232
fridge,coke,1,0.019230769230769232
fridge,iced tea,1,0.019230769230769232
fridge,sodas,1,0.019230769230769232
fridge,slurpee,1,0.019230769230769232
fridge,redbull,1,0.019230769230769232
fridge,sporade,1,0.019230769230769232
fridge,rootbeer,1,0.019230769230769232
fridge,energy drink,1,0.019230769230769232
fridge,cake,1,0.019230769230769232
fridge,vegetable,1,0.019230769230769232
fridge,cool drinks,1,0.019230769230769232
fridge,cheese,1,0.019230769230769232
fridge,flavored water,1,0.019230769230769232
fridge,gatorade,1,0.019230769230769232
fridge,kool aid,1,0.019230769230769232
fridge,punch,1,0.019230769230769232
fridge,energy drinks,1,0.019230769230769232
fridge,koolaid,1,0.019230769230769232
bag,pen,47,0.9038461538461539
bag,pencil,47,0.9038461538461539
bag,marker,32,0.6153846153846154
bag,crayon,29,0.5576923076923077
bag,highlighter,13,0.25
bag,lipstick,10,0.19230769230769232
bag,phone,7,0.1346153846153846
bag,eyeliner,7,0.1346153846153846
bag,sharpie,6,0.11538461538461539
bag,notepad,6,0.11538461538461539
bag,voice recorder,6,0.11538461538461539
bag,chalk,5,0.09615384615384616
bag,notsure,5,0.09615384615384616
bag,pens,3,0.057692307692307696
bag,ink,3,0.057692307692307696
bag,paper,3,0.057692307692307696
bag,pencils,2,0.038461538461538464
bag,markers,2,0.038461538461538464
bag,quill,2,0.038461538461538464
bag,nail polish,2,0.038461538461538464
bag,charcoal,2,0.038461538461538464
bag,lip stick,2,0.038461538461538464
bag,tablet,2,0.038461538461538464
bag,eye liner,2,0.038461538461538464
bag,envelope,2,0.038461538461538464
bag,eyebrow pencil,2,0.038461538461538464
bag,eybrow pencil,1,0.019230769230769232
bag,crayons,1,0.019230769230769232
bag,highlighters,1,0.019230769230769232
bag,my ipad,1,0.019230769230769232
bag,my kindle,1,0.019230769230769232
bag,clip,1,0.019230769230769232
bag,whiteout,1,0.019230769230769232
bag,mascara,1,0.019230769230769232
bag,high lighter,1,0.019230769230769232
bag,color,1,0.019230769230769232
bag,note,1,0.019230769230769232
bag,beeper,1,0.019230769230769232
bag,buzzer,1,0.019230769230769232
bag,business card,1,0.019230769230769232
bag,receipt,1,0.019230769230769232
bag,lip pencil,1,0.019230769230769232
bag,keys,1,0.019230769230769232
bag,wipes,1,0.019230769230769232
bag,brush,1,0.019230769230769232
bag,snacks,1,0.019230769230769232
bag,paintbrush,1,0.019230769230769232
bag,pastels,1,0.019230769230769232
bag,index card,1,0.019230769230769232
bag,legal paper,1,0.019230769230769232
bag,camera,1,0.019230769230769232
bag,computer,1,0.019230769230769232
bag,eye liner pencil,1,0.019230769230769232
mall,pizza,29,0.5576923076923077
mall,chinese,27,0.5192307692307693
mall,burgers,20,0.38461538461538464
mall,burger,16,0.3076923076923077
mall,mexican,12,0.23076923076923078
mall,subway,12,0.23076923076923078
mall,hot dogs,9,0.17307692307692307
mall,sandwiches,8,0.15384615384615385
mall,chicken,6,0.11538461538461539
mall,italian,6,0.11538461538461539
mall,mexicans,5,0.09615384615384616
mall,cafe,5,0.09615384615384616
mall,sushi,5,0.09615384615384616
mall,pretzels,4,0.07692307692307693
mall,french fries,3,0.057692307692307696
mall,sandwich,3,0.057692307692307696
mall,indian,3,0.057692307692307696
mall,pasta,3,0.057692307692307696
mall,subs,2,0.038461538461538464
mall,ice cream,2,0.038461538461538464
mall,asian,2,0.038461538461538464
mall,chick fil a,2,0.038461538461538464
mall,auntie anne's,2,0.038461538461538464
mall,spaghetti,2,0.038461538461538464
mall,japanese,2,0.038461538461538464
mall,panerbread,2,0.038461538461538464
mall,wendys,2,0.038461538461538464
mall,soup,2,0.038461538461538464
mall,wendy's,2,0.038461538461538464
mall,hot dog on stick,2,0.038461538461538464
mall,burger king,2,0.038461538461538464
mall,dairy queen,2,0.038461538461538464
mall,gyros,2,0.038461538461538464
mall,court,2,0.038461538461538464
mall,arby's,2,0.038461538461538464
mall,fish,2,0.038461538461538464
mall,fast,1,0.019230769230769232
mall,german,1,0.019230769230769232
mall,chicken strips,1,0.019230769230769232
mall,bbq,1,0.019230769230769232
mall,deli,1,0.019230769230769232
mall,eggs,1,0.019230769230769232
mall,salads,1,0.019230769230769232
mall,sakura,1,0.019230769230769232
mall,popeye's,1,0.019230769230769232
mall,charley's grilled subs,1,0.019230769230769232
mall,shrimp,1,0.019230769230769232
mall,fish sticks,1,0.019230769230769232
mall,cheeseburgers,1,0.019230769230769232
mall,chilli fries,1,0.019230769230769232
mall,chicken sandwich,1,0.019230769230769232
mall,salad,1,0.019230769230769232
mall,fruits,1,0.019230769230769232
mall,doughnut,1,0.019230769230769232
mall,cheeseburger,1,0.019230769230769232
mall,chicken and rice,1,0.019230769230769232
mall,american,1,0.019230769230769232
mall,tai,1,0.019230769230769232
mall,french bistro,1,0.019230769230769232
mall,hots dogs,1,0.019230769230769232
mall,arbys,1,0.019230769230769232
mall,auntie annes,1,0.019230769230769232
mall,hotdogs,1,0.019230769230769232
mall,stir fry,1,0.019230769230769232
mall,rice bowls,1,0.019230769230769232
mall,tortillas,1,0.019230769230769232
mall,dunkin donuts,1,0.019230769230769232
mall,jack in the box,1,0.019230769230769232
mall,rally's,1,0.019230769230769232
mall,quiznos,1,0.019230769230769232
mall,papgino's,1,0.019230769230769232
mall,cheese cake factory,1,0.019230769230769232
mall,p.f. chang's,1,0.019230769230769232
mall,cheesburgers,1,0.019230769230769232
mall,s-barro pizza,1,0.019230769230769232
mall,diner,1,0.019230769230769232
mall,red robin,1,0.019230769230769232
mall,chicken sandwichs,1,0.019230769230769232
mall,seafood,1,0.019230769230769232
mall,carls jr,1,0.019230769230769232
mall,food court,1,0.019230769230769232
mall,restaraunts,1,0.019230769230769232
mall,beef steak,1,0.019230769230769232
mall,pork,1,0.019230769230769232
mall,meat loaf,1,0.019230769230769232
mall,egg sandwich,1,0.019230769230769232
mall,kfc,1,0.019230769230769232
mall,californipizza,1,0.019230769230769232
mall,korean,1,0.019230769230769232
mall,italicuisine,1,0.019230769230769232
mall,thai cuisine,1,0.019230769230769232
mall,thai,1,0.019230769230769232
mall,steak,1,0.019230769230769232
mall,fries,1,0.019230769230769232
mall,milkshakes,1,0.019230769230769232
