context,human_word,word_key
bag,cash,cash
cold,fridge,fridge
cold,microwave,microwave
gym,weightlifting,weightlifting
mall,burger joint,burgerjoint
mall,coffee shop,coffeeshop
mall,electronics store,electronicsstore
mall,gift shop,giftshop
mall,grocery store,grocerystore
mask,gloves,glove
meat,rice,rice
salad,tuna,tuna
throw,shovel,shovel
transport,motorcycle,motorcycle
transport,roller blades,rollerblade
