context,word,cloze_probability,original_cloze_probability,source_rows,n_words
bag,pen,0.14311270125392694,0.9615384615384612,1,1
bag,pencil,0.14025044722884844,0.9423076923076922,1,1
bag,marker,0.09731663685267034,0.6538461538461537,1,1
bag,crayons,0.08586762075235617,0.5769230769230768,1,1
bag,high lighter,0.04293381037617808,0.2884615384615383,1,2
bag,lip stick,0.03434704830094245,0.2307692307692306,1,2
bag,eye liner,0.025760286225706832,0.1730769230769229,1,2
bag,cell phone,0.022808586762200406,0.1532451923067234,1,2
bag,notepad,0.017173524150471225,0.1153846153846153,1,1
bag,sharpie,0.017173524150471225,0.1153846153846153,1,1
bag,voice recorder,0.017173524150471225,0.1153846153846153,1,2
bag,chalk,0.014311270125392692,0.0961538461538461,1,1
bag,makeup,0.012880143112183627,0.0865384615339613,1,1
bag,eyebrow pencil,0.008586762075235605,0.0576923076923076,1,2
bag,ink,0.008586762075235605,0.0576923076923076,1,1
bag,paper,0.008586762075235605,0.0576923076923076,1,1
bag,charcoal,0.005724508050157071,0.0384615384615384,1,1
bag,envelope,0.005724508050157071,0.0384615384615384,1,1
bag,nail polish,0.005724508050157071,0.0384615384615384,1,2
bag,quill,0.005724508050157071,0.0384615384615384,1,1
bag,tablet,0.005724508050157071,0.0384615384615384,1,1
bag,snacks,0.005635062611729178,0.0378605769221081,1,1
bag,receipt,0.005545617173450123,0.0372596153836778,1,1
bag,bandaid,0.005545617173301287,0.0372596153826778,1,1
bag,hair brush,0.005545617173301287,0.0372596153826778,1,2
bag,tampon,0.005545617173301287,0.0372596153826778,1,1
bag,book,0.0053667262967431765,0.0360576923058172,1,1
bag,medicine,0.0053667262967431765,0.0360576923058172,1,1
bag,chap stick,0.004830053667068862,0.0324519230752355,1,2
bag,tissue,0.004472271913952642,0.0300480769215143,1,1
bag,beeper,0.0028622540250785354,0.0192307692307692,1,1
bag,brush,0.0028622540250785354,0.0192307692307692,1,1
bag,business card,0.0028622540250785354,0.0192307692307692,1,2
bag,buzzer,0.0028622540250785354,0.0192307692307692,1,1
bag,camera,0.0028622540250785354,0.0192307692307692,1,1
bag,clip,0.0028622540250785354,0.0192307692307692,1,1
bag,color,0.0028622540250785354,0.0192307692307692,1,1
bag,computer,0.0028622540250785354,0.0192307692307692,1,1
bag,index card,0.0028622540250785354,0.0192307692307692,1,2
bag,ipad,0.0028622540250785354,0.0192307692307692,1,1
bag,keys,0.0028622540250785354,0.0192307692307692,1,1
bag,kindle,0.0028622540250785354,0.0192307692307692,1,1
bag,legal paper,0.0028622540250785354,0.0192307692307692,1,2
bag,lip pencil,0.0028622540250785354,0.0192307692307692,1,2
bag,mascara,0.0028622540250785354,0.0192307692307692,1,1
bag,note,0.0028622540250785354,0.0192307692307692,1,1
bag,paintbrush,0.0028622540250785354,0.0192307692307692,1,1
bag,pastels,0.0028622540250785354,0.0192307692307692,1,1
bag,whiteout,0.0028622540250785354,0.0192307692307692,1,1
bag,wipes,0.0028622540250785354,0.0192307692307692,1,1
bag,balm,0.0027728085866506433,0.0186298076913389,1,1
bag,bible,0.0027728085866506433,0.0186298076913389,1,1
bag,calender,0.0027728085866506433,0.0186298076913389,1,1
bag,camping,0.0027728085866506433,0.0186298076913389,1,1
bag,charger,0.0027728085866506433,0.0186298076913389,1,1
bag,checkbook,0.0027728085866506433,0.0186298076913389,1,1
bag,coffee,0.0027728085866506433,0.0186298076913389,1,1
bag,compact,0.0027728085866506433,0.0186298076913389,1,1
bag,cosmetics,0.0027728085866506433,0.0186298076913389,1,1
bag,credit card,0.0027728085866506433,0.0186298076913389,1,2
bag,drivers license,0.0027728085866506433,0.0186298076913389,1,2
bag,ear rings,0.0027728085866506433,0.0186298076913389,1,2
bag,earbuds,0.0027728085866506433,0.0186298076913389,1,1
bag,eat,0.0027728085866506433,0.0186298076913389,1,1
bag,eye shadow,0.0027728085866506433,0.0186298076913389,1,2
bag,folders,0.0027728085866506433,0.0186298076913389,1,1
bag,food,0.0027728085866506433,0.0186298076913389,1,1
bag,grocery list,0.0027728085866506433,0.0186298076913389,1,2
bag,hair ties,0.0027728085866506433,0.0186298076913389,1,2
bag,hand lotion,0.0027728085866506433,0.0186298076913389,1,2
bag,handgun,0.0027728085866506433,0.0186298076913389,1,1
bag,jacket,0.0027728085866506433,0.0186298076913389,1,1
bag,journals,0.0027728085866506433,0.0186298076913389,1,1
bag,keychain,0.0027728085866506433,0.0186298076913389,1,1
bag,knife,0.0027728085866506433,0.0186298076913389,1,1
bag,laptop,0.0027728085866506433,0.0186298076913389,1,1
bag,license,0.0027728085866506433,0.0186298076913389,1,1
bag,lint,0.0027728085866506433,0.0186298076913389,1,1
bag,lotion,0.0027728085866506433,0.0186298076913389,1,1
bag,mask,0.0027728085866506433,0.0186298076913389,1,1
bag,nail file,0.0027728085866506433,0.0186298076913389,1,2
bag,organizer,0.0027728085866506433,0.0186298076913389,1,1
bag,paperclips,0.0027728085866506433,0.0186298076913389,1,1
bag,passport,0.0027728085866506433,0.0186298076913389,1,1
bag,phonebook,0.0027728085866506433,0.0186298076913389,1,1
bag,picture,0.0027728085866506433,0.0186298076913389,1,1
bag,powder,0.0027728085866506433,0.0186298076913389,1,1
bag,purse,0.0027728085866506433,0.0186298076913389,1,1
bag,reciepts,0.0027728085866506433,0.0186298076913389,1,1
bag,sanitizer,0.0027728085866506433,0.0186298076913389,1,1
bag,scarf,0.0027728085866506433,0.0186298076913389,1,1
bag,taser,0.0027728085866506433,0.0186298076913389,1,1
bag,trinket,0.0027728085866506433,0.0186298076913389,1,1
bag,umbrella,0.0027728085866506433,0.0186298076913389,1,1
bag,vacation,0.0027728085866506433,0.0186298076913389,1,1
bag,watching movie,0.0027728085866506433,0.0186298076913389,1,2
bag,work,0.0027728085866506433,0.0186298076913389,1,1
bag,binder,0.0026833631483715883,0.0180288461529086,1,1
bag,candy,0.0026833631483715883,0.0180288461529086,1,1
bag,drink,0.0026833631483715883,0.0180288461529086,1,1
bag,lip gloss,0.0026833631483715883,0.0180288461529086,1,2
bag,pepper spray,0.0026833631483715883,0.0180288461529086,1,2
bag,hand sanitizer,0.0025939177100925332,0.0174278846144783,1,2
bag,headphones,0.0025939177100925332,0.0174278846144783,1,1
bag,perfume,0.0025939177100925332,0.0174278846144783,1,1
bag,comb,0.002504472271813478,0.016826923076048,1,1
bag,id,0.002504472271813478,0.016826923076048,1,1
bag,water,0.002504472271813478,0.016826923076048,1,1
bag,glasses,0.0024150268335344236,0.0162259615376177,1,1
bag,gum,0.0024150268335344236,0.0162259615376177,1,1
bag,mints,0.0024150268335344236,0.0162259615376177,1,1
bag,mirror,0.0020572450804182186,0.0138221153838966,1,1
bag,money,0.0010733452593486292,0.0072115384611634,1,1
bag,wallet,0.0,0.0,1,1
bakery,cakes,0.11756430868307395,0.8653846153846154,1,1
bakery,cookies,0.09143890675350197,0.6730769230769231,1,1
bakery,pie,0.07053858520984436,0.5192307692307692,1,1
bakery,do nut,0.06785905680667896,0.4995069033520827,1,2
bakery,cupcakes,0.05486334405210117,0.4038461538461538,1,1
bakery,brownies,0.036575562701400784,0.2692307692307692,1,1
bakery,muffins,0.03135048231548638,0.2307692307692307,1,1
bakery,ice cream,0.02612540192957196,0.1923076923076921,1,2
bakery,cheese cake,0.02344587352640658,0.1725838264290058,1,2
bakery,tarts,0.018287781350700392,0.1346153846153846,1,1
bakery,pastries,0.018287781350700378,0.1346153846153845,1,1
bakery,scones,0.015608252947534982,0.1148915187366981,1,1
bakery,eclairs,0.013062700964785987,0.0961538461538461,1,1
bakery,pudding,0.010450160771828792,0.0769230769230769,1,1
bakery,cinnamon rolls,0.01038317256162058,0.0764299802751596,1,2
bakery,fruit,0.01038317256162058,0.0764299802751596,1,1
bakery,croissants,0.010182207931131846,0.0749506903324081,1,1
bakery,chocolate,0.007837620578871584,0.0576923076923076,1,1
bakery,danish,0.007837620578871584,0.0576923076923076,1,1
bakery,apple fritters,0.00522508038591439,0.0384615384615384,1,2
bakery,bread,0.00522508038591439,0.0384615384615384,1,1
bakery,candy,0.00522508038591439,0.0384615384615384,1,1
bakery,crullers,0.00522508038591439,0.0384615384615384,1,1
bakery,fudge,0.00522508038591439,0.0384615384615384,1,1
bakery,pretzels,0.00522508038591439,0.0384615384615384,1,1
bakery,truffles,0.00522508038591439,0.0384615384615384,1,1
bakery,turnovers,0.00522508038591439,0.0384615384615384,1,1
bakery,biscotti,0.00515809217570619,0.0379684418136212,1,1
bakery,buns,0.00515809217570619,0.0379684418136212,1,1
bakery,flat bread,0.00515809217570619,0.0379684418136212,1,2
bakery,bread sticks,0.00509110396549799,0.037475345165704,1,2
bakery,pizza crust,0.00509110396549799,0.037475345165704,1,2
bakery,smoothie,0.00509110396549799,0.037475345165704,1,1
bakery,bagels,0.005024115755561508,0.0369822485197869,1,1
bakery,baguette,0.005024115755425655,0.0369822485187869,1,1
bakery,salad,0.005024115755425655,0.0369822485187869,1,1
bakery,biscuit,0.0044882100748469145,0.0330374753434496,1,1
bakery,sandwiches,0.004421221864774567,0.0325443786965324,1,1
bakery,baklava,0.002612540192957195,0.0192307692307692,1,1
bakery,bear claws,0.002612540192957195,0.0192307692307692,1,2
bakery,cannoli,0.002612540192957195,0.0192307692307692,1,1
bakery,cinnamon bun,0.002612540192957195,0.0192307692307692,1,2
bakery,cobbler,0.002612540192957195,0.0192307692307692,1,1
bakery,coca cola,0.002612540192957195,0.0192307692307692,1,2
bakery,coke float,0.002612540192957195,0.0192307692307692,1,2
bakery,cookie dough,0.002612540192957195,0.0192307692307692,1,2
bakery,cream,0.002612540192957195,0.0192307692307692,1,1
bakery,crepes,0.002612540192957195,0.0192307692307692,1,1
bakery,doughnut,0.002612540192957195,0.0192307692307692,1,1
bakery,energy drink,0.002612540192957195,0.0192307692307692,1,2
bakery,flan,0.002612540192957195,0.0192307692307692,1,1
bakery,frozen dessert,0.002612540192957195,0.0192307692307692,1,2
bakery,frozen yogurt,0.002612540192957195,0.0192307692307692,1,2
bakery,jellied dessert,0.002612540192957195,0.0192307692307692,1,2
bakery,jello,0.002612540192957195,0.0192307692307692,1,1
bakery,long johns,0.002612540192957195,0.0192307692307692,1,2
bakery,macarons,0.002612540192957195,0.0192307692307692,1,1
bakery,macaroons,0.002612540192957195,0.0192307692307692,1,1
bakery,macroons,0.002612540192957195,0.0192307692307692,1,1
bakery,mango desert,0.002612540192957195,0.0192307692307692,1,2
bakery,milkshakes,0.002612540192957195,0.0192307692307692,1,1
bakery,momofuku milkibar,0.002612540192957195,0.0192307692307692,1,2
bakery,mousse,0.002612540192957195,0.0192307692307692,1,1
bakery,petit fours,0.002612540192957195,0.0192307692307692,1,2
bakery,popsicles,0.002612540192957195,0.0192307692307692,1,1
bakery,puff pastrys,0.002612540192957195,0.0192307692307692,1,2
bakery,rolls,0.002612540192957195,0.0192307692307692,1,1
bakery,smores,0.002612540192957195,0.0192307692307692,1,1
bakery,snickers rolls,0.002612540192957195,0.0192307692307692,1,2
bakery,strawberry crumble,0.002612540192957195,0.0192307692307692,1,2
bakery,sweet bread,0.002612540192957195,0.0192307692307692,1,2
bakery,swiss rolls,0.002612540192957195,0.0192307692307692,1,2
bakery,taiyaki,0.002612540192957195,0.0192307692307692,1,1
bakery,tortes,0.002612540192957195,0.0192307692307692,1,1
bakery,yogurt,0.002612540192957195,0.0192307692307692,1,1
bakery,baking ingrediants,0.002545551982748995,0.018737672582852,1,2
bakery,baking pans,0.002545551982748995,0.018737672582852,1,2
bakery,banana bread,0.002545551982748995,0.018737672582852,1,2
bakery,beef,0.002545551982748995,0.018737672582852,1,1
bakery,bisuits,0.002545551982748995,0.018737672582852,1,1
bakery,bottled water,0.002545551982748995,0.018737672582852,1,2
bakery,breakfast pastries,0.002545551982748995,0.018737672582852,1,2
bakery,brioche,0.002545551982748995,0.018737672582852,1,1
bakery,butter,0.002545551982748995,0.018737672582852,1,1
bakery,cabbage pie,0.002545551982748995,0.018737672582852,1,2
bakery,calzones,0.002545551982748995,0.018737672582852,1,1
bakery,chicken,0.002545551982748995,0.018737672582852,1,1
bakery,chicken pie,0.002545551982748995,0.018737672582852,1,2
bakery,coffee/tea,0.002545551982748995,0.018737672582852,1,1
bakery,cuban,0.002545551982748995,0.018737672582852,1,1
bakery,cups,0.002545551982748995,0.018737672582852,1,1
bakery,drinks,0.002545551982748995,0.018737672582852,1,1
bakery,english muffins,0.002545551982748995,0.018737672582852,1,2
bakery,flour,0.002545551982748995,0.018737672582852,1,1
bakery,fries,0.002545551982748995,0.018737672582852,1,1
bakery,grains bar,0.002545551982748995,0.018737672582852,1,2
bakery,hamburger buns,0.002545551982748995,0.018737672582852,1,2
bakery,hawaiian rolls,0.002545551982748995,0.018737672582852,1,2
bakery,juice,0.002545551982748995,0.018737672582852,1,1
bakery,meat pies,0.002545551982748995,0.018737672582852,1,2
bakery,milk,0.002545551982748995,0.018737672582852,1,1
bakery,napkins,0.002545551982748995,0.018737672582852,1,1
bakery,nuts,0.002545551982748995,0.018737672582852,1,1
bakery,orange juice,0.002545551982748995,0.018737672582852,1,2
bakery,order book,0.002545551982748995,0.018737672582852,1,2
bakery,pancakes,0.002545551982748995,0.018737672582852,1,1
bakery,pasta,0.002545551982748995,0.018737672582852,1,1
bakery,pickles,0.002545551982748995,0.018737672582852,1,1
bakery,pie crust,0.002545551982748995,0.018737672582852,1,2
bakery,quiche,0.002545551982748995,0.018737672582852,1,1
bakery,regular bread,0.002545551982748995,0.018737672582852,1,2
bakery,rye bread,0.002545551982748995,0.018737672582852,1,2
bakery,sausage roll,0.002545551982748995,0.018737672582852,1,2
bakery,soft drinks,0.002545551982748995,0.018737672582852,1,2
bakery,sourdough,0.002545551982748995,0.018737672582852,1,1
bakery,spices,0.002545551982748995,0.018737672582852,1,1
bakery,stromboli,0.002545551982748995,0.018737672582852,1,1
bakery,sugar,0.002545551982748995,0.018737672582852,1,1
bakery,tortillas,0.002545551982748995,0.018737672582852,1,1
bakery,utensils,0.002545551982748995,0.018737672582852,1,1
bakery,wheat bread,0.002545551982748995,0.018737672582852,1,2
bakery,white bread,0.002545551982748995,0.018737672582852,1,2
bakery,wraps,0.002545551982748995,0.018737672582852,1,1
bakery,cheese,0.002478563772676661,0.0182445759359349,1,1
bakery,chips,0.002478563772676661,0.0182445759359349,1,1
bakery,dinner rolls,0.002478563772676661,0.0182445759359349,1,2
bakery,eggs,0.002478563772676661,0.0182445759359349,1,1
bakery,focaccia,0.002478563772676661,0.0182445759359349,1,1
bakery,garlic bread,0.002478563772676661,0.0182445759359349,1,2
bakery,hot chocolate,0.002478563772676661,0.0182445759359349,1,2
bakery,jerky,0.002478563772676661,0.0182445759359349,1,1
bakery,meat,0.002478563772676661,0.0182445759359349,1,1
bakery,potato chips,0.002478563772676661,0.0182445759359349,1,2
bakery,toast,0.002478563772676661,0.0182445759359349,1,1
bakery,vegetables,0.002411575562604313,0.0177514792890177,1,1
bakery,crackers,0.0023445873525319654,0.0172583826421005,1,1
