Dataset,No linking structure,X but not Y,Set Top-K,Set Top-p,Ordering,Conjunction Top-K,Conjunction Top-p,Disjunction Top-K,Disjunction Top-p
van Tiel et al. (2016),0.09986834260810008,0.138903177028525,0.20646128101726613,0.1525554633984698,-0.059211281302670504,0.17556687688545855,0.10684594948866614,-0.005576404917203557,0.015361238227658355
Gotzner et al. (2018),0.08021321721466348,0.042800395783717436,0.13694522383184443,0.1620582863189677,0.06674788792799057,0.1303115639761049,0.14085637448797272,0.07407851247120417,0.0870932951410691
Pankratz & van Tiel (2021),0.0014889529728119076,0.2162824269861942,-0.09188441105746083,-0.1157859740311035,-0.23762400080907323,-0.10329172502611479,-0.12334615015629496,-0.22589710437157792,-0.2314252084551542
Ronai & Xiang (2022),0.13970509558897937,0.37079330112388803,0.2983972976638278,0.14285484165946827,0.14275066688683144,0.2869752352363128,0.1269541748734104,0.18393992847622695,0.18190265088900548
R&X ESI,0.16622621376251345,,0.3240853599765565,0.16228646508069045,0.16278798925330779,0.314067576092408,0.15296151339415215,0.20340756215451333,0.19509232571718899
R&X Eweak,-0.13000447271731946,,0.01804651694813035,-0.07656999798028533,0.07071233671128631,0.09129661275026221,0.04045718474267042,-0.0014571721759359909,-0.05954185760983091
R&X Estrong,-0.26146065752944486,,-0.008137122724414254,-0.19657068158114124,0.09363348698678017,0.0699389283730781,0.036509040390294886,-0.0029122333961061546,-0.22247102201390512
R&X Eonly,0.12017223813715006,,0.30729841621842485,0.11055677367435712,0.10866584636784825,0.2526615387581967,0.09962359093510757,0.19069058224139732,0.14214342009095998
R&X Eonlystrong,-0.2237879581809142,,-0.03672064726809771,-0.19450750757056817,-0.041751995782380556,-0.04813593684305767,-0.1463771259420675,-0.03969450250459858,-0.14592141929823957
